['CACM-0001', 39]
['CACM-0214', 31]
['CACM-0215', 20]
['CACM-0216', 16]
['CACM-0217', 18]
['CACM-0218', 17]
['CACM-0219', 15]
['CACM-0220', 18]
['CACM-0221', 19]
['CACM-0222', 35]
['CACM-0223', 15]
['CACM-0224', 134]
['CACM-0225', 18]
['CACM-0226', 20]
['CACM-0227', 16]
['CACM-0228', 16]
['CACM-0229', 15]
['CACM-0230', 19]
['CACM-0231', 18]
['CACM-0232', 22]
['CACM-0233', 18]
['CACM-0234', 17]
['CACM-0235', 15]
['CACM-0236', 40]
['CACM-0237', 17]
['CACM-0238', 23]
['CACM-0239', 21]
['CACM-0240', 19]
['CACM-0241', 43]
['CACM-0242', 37]
['CACM-0243', 72]
['CACM-0244', 18]
['CACM-0245', 24]
['CACM-0246', 19]
['CACM-0247', 18]
['CACM-0248', 44]
['CACM-0249', 115]
['CACM-0250', 28]
['CACM-0251', 44]
['CACM-0252', 46]
['CACM-0253', 20]
['CACM-0254', 99]
['CACM-0255', 16]
['CACM-0256', 18]
['CACM-0257', 17]
['CACM-0258', 18]
['CACM-0259', 17]
['CACM-0260', 17]
['CACM-0261', 15]
['CACM-0262', 15]
['CACM-0263', 18]
['CACM-0264', 20]
['CACM-0265', 42]
['CACM-0266', 17]
['CACM-0267', 35]
['CACM-0268', 18]
['CACM-0269', 17]
['CACM-0270', 20]
['CACM-0271', 29]
['CACM-0272', 84]
['CACM-0273', 29]
['CACM-0274', 30]
['CACM-0275', 19]
['CACM-0276', 48]
['CACM-0277', 19]
['CACM-0278', 74]
['CACM-0279', 20]
['CACM-0280', 18]
['CACM-0281', 37]
['CACM-0282', 58]
['CACM-0283', 16]
['CACM-0284', 88]
['CACM-0285', 17]
['CACM-0286', 18]
['CACM-0287', 18]
['CACM-0288', 81]
['CACM-0289', 18]
['CACM-0290', 17]
['CACM-0291', 17]
['CACM-0292', 21]
['CACM-0293', 20]
['CACM-0294', 16]
['CACM-0295', 19]
['CACM-0296', 22]
['CACM-0297', 20]
['CACM-0298', 50]
['CACM-0299', 24]
['CACM-0300', 35]
['CACM-0301', 18]
['CACM-0302', 16]
['CACM-0303', 45]
['CACM-0304', 20]
['CACM-0305', 16]
['CACM-0306', 16]
['CACM-0307', 32]
['CACM-0308', 45]
['CACM-0309', 42]
['CACM-0310', 24]
['CACM-0311', 26]
['CACM-0312', 15]
['CACM-0313', 18]
['CACM-0314', 18]
['CACM-0315', 16]
['CACM-0316', 79]
['CACM-0317', 22]
['CACM-0318', 19]
['CACM-0319', 50]
['CACM-0320', 58]
['CACM-0321', 132]
['CACM-0322', 64]
['CACM-0323', 27]
['CACM-0324', 34]
['CACM-0325', 18]
['CACM-0326', 15]
['CACM-0327', 24]
['CACM-0328', 16]
['CACM-0329', 58]
['CACM-0330', 17]
['CACM-0331', 20]
['CACM-0332', 50]
['CACM-0333', 22]
['CACM-0334', 19]
['CACM-0335', 46]
['CACM-0336', 22]
['CACM-0337', 17]
['CACM-0338', 18]
['CACM-0339', 20]
['CACM-0340', 20]
['CACM-0341', 17]
['CACM-0342', 19]
['CACM-0343', 21]
['CACM-0344', 18]
['CACM-0345', 18]
['CACM-0346', 19]
['CACM-0347', 20]
['CACM-0348', 19]
['CACM-0349', 16]
['CACM-0350', 20]
['CACM-0351', 20]
['CACM-0352', 18]
['CACM-0353', 18]
['CACM-0354', 21]
['CACM-0355', 18]
['CACM-0356', 15]
['CACM-0357', 18]
['CACM-0358', 18]
['CACM-0359', 15]
['CACM-0360', 25]
['CACM-0361', 19]
['CACM-0362', 18]
['CACM-0363', 17]
['CACM-0364', 36]
['CACM-0365', 18]
['CACM-0366', 16]
['CACM-0367', 47]
['CACM-0368', 17]
['CACM-0369', 16]
['CACM-0370', 15]
['CACM-0371', 19]
['CACM-0372', 16]
['CACM-0373', 17]
['CACM-0374', 14]
['CACM-0375', 14]
['CACM-0376', 17]
['CACM-0377', 19]
['CACM-0378', 70]
['CACM-0379', 13]
['CACM-0380', 37]
['CACM-0381', 79]
['CACM-0382', 17]
['CACM-0383', 18]
['CACM-0384', 16]
['CACM-0385', 24]
['CACM-0386', 18]
['CACM-0387', 20]
['CACM-0388', 20]
['CACM-0389', 17]
['CACM-0390', 19]
['CACM-0391', 15]
['CACM-0392', 16]
['CACM-0393', 22]
['CACM-0394', 16]
['CACM-0395', 14]
['CACM-0396', 63]
['CACM-0397', 66]
['CACM-0398', 83]
['CACM-0399', 36]
['CACM-0400', 31]
['CACM-0401', 22]
['CACM-0402', 25]
['CACM-0403', 18]
['CACM-0404', 105]
['CACM-0405', 59]
['CACM-0406', 39]
['CACM-0407', 53]
['CACM-0408', 27]
['CACM-0409', 64]
['CACM-0410', 77]
['CACM-0411', 18]
['CACM-0412', 22]
['CACM-0413', 17]
['CACM-0414', 33]
['CACM-0415', 22]
['CACM-0416', 23]
['CACM-0417', 53]
['CACM-0418', 16]
['CACM-0419', 18]
['CACM-0420', 16]
['CACM-0421', 28]
['CACM-0422', 16]
['CACM-0423', 17]
['CACM-0424', 17]
['CACM-0425', 17]
['CACM-0426', 18]
['CACM-0427', 16]
['CACM-0428', 17]
['CACM-0429', 38]
['CACM-0430', 17]
['CACM-0431', 17]
['CACM-0432', 17]
['CACM-0433', 17]
['CACM-0434', 19]
['CACM-0435', 106]
['CACM-0436', 23]
['CACM-0437', 64]
['CACM-0438', 48]
['CACM-0439', 22]
['CACM-0440', 73]
['CACM-0441', 74]
['CACM-0442', 18]
['CACM-0443', 20]
['CACM-0444', 17]
['CACM-0445', 15]
['CACM-0446', 17]
['CACM-0447', 16]
['CACM-0448', 17]
['CACM-0449', 16]
['CACM-0450', 21]
['CACM-0451', 19]
['CACM-0452', 18]
['CACM-0453', 17]
['CACM-0454', 27]
['CACM-0455', 17]
['CACM-0456', 18]
['CACM-0457', 17]
['CACM-0458', 18]
['CACM-0459', 17]
['CACM-0460', 16]
['CACM-0461', 21]
['CACM-0462', 75]
['CACM-0463', 107]
['CACM-0464', 139]
['CACM-0465', 16]
['CACM-0466', 18]
['CACM-0467', 18]
['CACM-0468', 18]
['CACM-0469', 18]
['CACM-0470', 18]
['CACM-0471', 16]
['CACM-0472', 19]
['CACM-0473', 16]
['CACM-0474', 23]
['CACM-0475', 21]
['CACM-0476', 17]
['CACM-0477', 19]
['CACM-0478', 15]
['CACM-0479', 42]
['CACM-0480', 19]
['CACM-0481', 19]
['CACM-0482', 19]
['CACM-0483', 144]
['CACM-0484', 17]
['CACM-0485', 25]
['CACM-0486', 17]
['CACM-0487', 16]
['CACM-0488', 22]
['CACM-0489', 19]
['CACM-0490', 18]
['CACM-0491', 69]
['CACM-0492', 59]
['CACM-0493', 29]
['CACM-0494', 24]
['CACM-0495', 56]
['CACM-0496', 20]
['CACM-0497', 77]
['CACM-0498', 18]
['CACM-0499', 17]
['CACM-0500', 16]
['CACM-0501', 25]
['CACM-0502', 17]
['CACM-0503', 20]
['CACM-0504', 16]
['CACM-0505', 17]
['CACM-0506', 16]
['CACM-0507', 33]
['CACM-0508', 17]
['CACM-0509', 17]
['CACM-0510', 19]
['CACM-0511', 21]
['CACM-0512', 18]
['CACM-0513', 16]
['CACM-0514', 17]
['CACM-0515', 20]
['CACM-0516', 18]
['CACM-0517', 19]
['CACM-0518', 22]
['CACM-0519', 18]
['CACM-0520', 17]
['CACM-0521', 36]
['CACM-0522', 18]
['CACM-0523', 16]
['CACM-0524', 28]
['CACM-0525', 18]
['CACM-0526', 16]
['CACM-0527', 48]
['CACM-0528', 20]
['CACM-0529', 19]
['CACM-0530', 19]
['CACM-0531', 92]
['CACM-0532', 26]
['CACM-0533', 76]
['CACM-0534', 18]
['CACM-0535', 23]
['CACM-0536', 58]
['CACM-0537', 25]
['CACM-0538', 21]
['CACM-0539', 19]
['CACM-0540', 19]
['CACM-0541', 17]
['CACM-0542', 16]
['CACM-0543', 17]
['CACM-0544', 18]
['CACM-0545', 20]
['CACM-0546', 19]
['CACM-0547', 18]
['CACM-0548', 18]
['CACM-0549', 19]
['CACM-0550', 19]
['CACM-0551', 19]
['CACM-0552', 17]
['CACM-0553', 20]
['CACM-0554', 18]
['CACM-0555', 17]
['CACM-0556', 22]
['CACM-0557', 29]
['CACM-0558', 45]
['CACM-0559', 19]
['CACM-0560', 61]
['CACM-0561', 58]
['CACM-0562', 16]
['CACM-0563', 17]
['CACM-0564', 16]
['CACM-0565', 16]
['CACM-0566', 17]
['CACM-0567', 18]
['CACM-0568', 18]
['CACM-0569', 17]
['CACM-0570', 30]
['CACM-0571', 19]
['CACM-0572', 19]
['CACM-0573', 19]
['CACM-0574', 19]
['CACM-0575', 20]
['CACM-0576', 28]
['CACM-0577', 21]
['CACM-0578', 19]
['CACM-0579', 27]
['CACM-0580', 18]
['CACM-0581', 16]
['CACM-0582', 15]
['CACM-0583', 59]
['CACM-0584', 109]
['CACM-0585', 86]
['CACM-0586', 23]
['CACM-0587', 20]
['CACM-0588', 16]
['CACM-0589', 18]
['CACM-0590', 18]
['CACM-0591', 21]
['CACM-0592', 15]
['CACM-0593', 16]
['CACM-0594', 17]
['CACM-0595', 48]
['CACM-0596', 25]
['CACM-0597', 18]
['CACM-0598', 33]
['CACM-0599', 15]
['CACM-0600', 78]
['CACM-0601', 20]
['CACM-0602', 14]
['CACM-0603', 23]
['CACM-0604', 13]
['CACM-0605', 56]
['CACM-0606', 21]
['CACM-0607', 15]
['CACM-0608', 17]
['CACM-0609', 16]
['CACM-0610', 16]
['CACM-0611', 17]
['CACM-0612', 20]
['CACM-0613', 25]
['CACM-0614', 17]
['CACM-0615', 65]
['CACM-0616', 135]
['CACM-0617', 38]
['CACM-0618', 31]
['CACM-0619', 84]
['CACM-0620', 15]
['CACM-0621', 33]
['CACM-0622', 17]
['CACM-0623', 17]
['CACM-0624', 17]
['CACM-0625', 19]
['CACM-0626', 23]
['CACM-0627', 97]
['CACM-0628', 17]
['CACM-0629', 16]
['CACM-0630', 40]
['CACM-0631', 82]
['CACM-0632', 62]
['CACM-0633', 27]
['CACM-0634', 27]
['CACM-0635', 25]
['CACM-0636', 21]
['CACM-0637', 69]
['CACM-0638', 21]
['CACM-0639', 18]
['CACM-0640', 20]
['CACM-0641', 18]
['CACM-0642', 67]
['CACM-0643', 27]
['CACM-0644', 109]
['CACM-0645', 17]
['CACM-0646', 20]
['CACM-0647', 19]
['CACM-0648', 17]
['CACM-0649', 16]
['CACM-0650', 18]
['CACM-0651', 18]
['CACM-0652', 21]
['CACM-0653', 84]
['CACM-0654', 19]
['CACM-0655', 36]
['CACM-0656', 23]
['CACM-0657', 25]
['CACM-0658', 21]
['CACM-0659', 22]
['CACM-0660', 18]
['CACM-0661', 24]
['CACM-0662', 17]
['CACM-0663', 16]
['CACM-0664', 16]
['CACM-0665', 16]
['CACM-0666', 22]
['CACM-0667', 17]
['CACM-0668', 19]
['CACM-0669', 101]
['CACM-0670', 110]
['CACM-0671', 52]
['CACM-0672', 19]
['CACM-0673', 17]
['CACM-0674', 25]
['CACM-0675', 83]
['CACM-0676', 17]
['CACM-0677', 58]
['CACM-0678', 49]
['CACM-0679', 104]
['CACM-0680', 150]
['CACM-0681', 19]
['CACM-0682', 17]
['CACM-0683', 18]
['CACM-0684', 18]
['CACM-0685', 18]
['CACM-0686', 16]
['CACM-0687', 17]
['CACM-0688', 18]
['CACM-0689', 30]
['CACM-0690', 24]
['CACM-0691', 136]
['CACM-0692', 16]
['CACM-0693', 34]
['CACM-0694', 32]
['CACM-0695', 89]
['CACM-0696', 78]
['CACM-0697', 24]
['CACM-0698', 45]
['CACM-0699', 38]
['CACM-0700', 17]
['CACM-0701', 17]
['CACM-0702', 17]
['CACM-0703', 16]
['CACM-0704', 18]
['CACM-0705', 18]
['CACM-0706', 18]
['CACM-0707', 21]
['CACM-0708', 19]
['CACM-0709', 16]
['CACM-0710', 17]
['CACM-0711', 17]
['CACM-0712', 17]
['CACM-0713', 17]
['CACM-0714', 29]
['CACM-0715', 18]
['CACM-0716', 28]
['CACM-0717', 32]
['CACM-0718', 29]
['CACM-0719', 50]
['CACM-0720', 32]
['CACM-0721', 36]
['CACM-0722', 17]
['CACM-0723', 16]
['CACM-0724', 96]
['CACM-0725', 17]
['CACM-0726', 35]
['CACM-0727', 40]
['CACM-0728', 63]
['CACM-0729', 45]
['CACM-0730', 86]
['CACM-0731', 107]
['CACM-0732', 18]
['CACM-0733', 21]
['CACM-0734', 21]
['CACM-0735', 20]
['CACM-0736', 19]
['CACM-0737', 17]
['CACM-0738', 18]
['CACM-0739', 16]
['CACM-0740', 16]
['CACM-0741', 17]
['CACM-0742', 17]
['CACM-0743', 16]
['CACM-0744', 16]
['CACM-0745', 16]
['CACM-0746', 16]
['CACM-0747', 21]
['CACM-0748', 18]
['CACM-0749', 16]
['CACM-0750', 19]
['CACM-0751', 18]
['CACM-0752', 16]
['CACM-0753', 40]
['CACM-0754', 18]
['CACM-0755', 50]
['CACM-0756', 18]
['CACM-0757', 18]
['CACM-0758', 32]
['CACM-0759', 58]
['CACM-0760', 15]
['CACM-0761', 114]
['CACM-0762', 64]
['CACM-0763', 147]
['CACM-0764', 19]
['CACM-0765', 20]
['CACM-0766', 17]
['CACM-0767', 24]
['CACM-0768', 24]
['CACM-0769', 17]
['CACM-0770', 17]
['CACM-0771', 18]
['CACM-0772', 17]
['CACM-0773', 24]
['CACM-0774', 25]
['CACM-0775', 18]
['CACM-0776', 34]
['CACM-0777', 18]
['CACM-0778', 23]
['CACM-0779', 18]
['CACM-0780', 23]
['CACM-0781', 17]
['CACM-0782', 17]
['CACM-0783', 29]
['CACM-0784', 17]
['CACM-0785', 30]
['CACM-0786', 32]
['CACM-0787', 17]
['CACM-0788', 21]
['CACM-0789', 16]
['CACM-0790', 16]
['CACM-0791', 24]
['CACM-0792', 20]
['CACM-0793', 29]
['CACM-0794', 50]
['CACM-0795', 43]
['CACM-0796', 99]
['CACM-0797', 24]
['CACM-0798', 23]
['CACM-0799', 146]
['CACM-0800', 25]
['CACM-0801', 17]
['CACM-0802', 14]
['CACM-0803', 16]
['CACM-0804', 17]
['CACM-0805', 16]
['CACM-0806', 21]
['CACM-0807', 16]
['CACM-0808', 16]
['CACM-0809', 15]
['CACM-0810', 16]
['CACM-0811', 17]
['CACM-0812', 16]
['CACM-0813', 17]
['CACM-0814', 17]
['CACM-0815', 18]
['CACM-0816', 18]
['CACM-0817', 15]
['CACM-0818', 18]
['CACM-0819', 19]
['CACM-0820', 15]
['CACM-0821', 16]
['CACM-0822', 27]
['CACM-0823', 55]
['CACM-0824', 48]
['CACM-0825', 45]
['CACM-0826', 23]
['CACM-0827', 22]
['CACM-0828', 26]
['CACM-0829', 21]
['CACM-0830', 42]
['CACM-0831', 24]
['CACM-0832', 17]
['CACM-0833', 17]
['CACM-0834', 35]
['CACM-0835', 18]
['CACM-0836', 22]
['CACM-0837', 17]
['CACM-0838', 17]
['CACM-0839', 17]
['CACM-0840', 17]
['CACM-0841', 17]
['CACM-0842', 17]
['CACM-0843', 15]
['CACM-0844', 16]
['CACM-0845', 16]
['CACM-0846', 15]
['CACM-0847', 18]
['CACM-0848', 42]
['CACM-0849', 104]
['CACM-0850', 56]
['CACM-0851', 70]
['CACM-0852', 40]
['CACM-0853', 33]
['CACM-0854', 83]
['CACM-0855', 67]
['CACM-0856', 65]
['CACM-0857', 43]
['CACM-0858', 55]
['CACM-0859', 33]
['CACM-0860', 55]
['CACM-0861', 64]
['CACM-0862', 41]
['CACM-0863', 36]
['CACM-0864', 53]
['CACM-0865', 72]
['CACM-0866', 32]
['CACM-0867', 64]
['CACM-0868', 27]
['CACM-0869', 17]
['CACM-0870', 17]
['CACM-0871', 18]
['CACM-0872', 35]
['CACM-0873', 16]
['CACM-0874', 16]
['CACM-0875', 20]
['CACM-0876', 18]
['CACM-0877', 20]
['CACM-0878', 28]
['CACM-0879', 25]
['CACM-0880', 19]
['CACM-0881', 20]
['CACM-0882', 17]
['CACM-0883', 19]
['CACM-0884', 22]
['CACM-0885', 22]
['CACM-0886', 17]
['CACM-0887', 19]
['CACM-0888', 21]
['CACM-0889', 18]
['CACM-0890', 30]
['CACM-0891', 46]
['CACM-0892', 47]
['CACM-0893', 52]
['CACM-0894', 46]
['CACM-0895', 21]
['CACM-0896', 17]
['CACM-0897', 20]
['CACM-0898', 15]
['CACM-0899', 17]
['CACM-0900', 16]
['CACM-0901', 17]
['CACM-0902', 24]
['CACM-0903', 16]
['CACM-0904', 17]
['CACM-0905', 16]
['CACM-0906', 16]
['CACM-0907', 25]
['CACM-0908', 15]
['CACM-0909', 19]
['CACM-0910', 16]
['CACM-0911', 28]
['CACM-0912', 21]
['CACM-0913', 13]
['CACM-0914', 44]
['CACM-0915', 44]
['CACM-0916', 13]
['CACM-0917', 44]
['CACM-0918', 13]
['CACM-0919', 106]
['CACM-0920', 19]
['CACM-0921', 18]
['CACM-0922', 16]
['CACM-0923', 16]
['CACM-0924', 16]
['CACM-0925', 19]
['CACM-0926', 16]
['CACM-0927', 21]
['CACM-0928', 16]
['CACM-0929', 21]
['CACM-0930', 17]
['CACM-0931', 32]
['CACM-0932', 22]
['CACM-0933', 18]
['CACM-0934', 17]
['CACM-0935', 18]
['CACM-0936', 18]
['CACM-0937', 20]
['CACM-0938', 15]
['CACM-0939', 17]
['CACM-0940', 44]
['CACM-0941', 36]
['CACM-0942', 67]
['CACM-0943', 18]
['CACM-0944', 73]
['CACM-0945', 43]
['CACM-0946', 27]
['CACM-0947', 21]
['CACM-0948', 19]
['CACM-0949', 85]
['CACM-0950', 54]
['CACM-0951', 39]
['CACM-0952', 16]
['CACM-0953', 20]
['CACM-0954', 18]
['CACM-0955', 18]
['CACM-0956', 16]
['CACM-0957', 18]
['CACM-0958', 15]
['CACM-0959', 18]
['CACM-0960', 17]
['CACM-0961', 32]
['CACM-0962', 60]
['CACM-0963', 41]
['CACM-0964', 101]
['CACM-0965', 19]
['CACM-0966', 19]
['CACM-0967', 25]
['CACM-0968', 20]
['CACM-0969', 21]
['CACM-0970', 46]
['CACM-0971', 44]
['CACM-0972', 83]
['CACM-0973', 58]
['CACM-0974', 43]
['CACM-0975', 23]
['CACM-0976', 18]
['CACM-0977', 21]
['CACM-0978', 17]
['CACM-0979', 19]
['CACM-0980', 33]
['CACM-0981', 40]
['CACM-0982', 52]
['CACM-0983', 22]
['CACM-0984', 58]
['CACM-0985', 17]
['CACM-0986', 27]
['CACM-0987', 44]
['CACM-0988', 29]
['CACM-0989', 120]
['CACM-0990', 116]
['CACM-0991', 20]
['CACM-0992', 18]
['CACM-0993', 18]
['CACM-0994', 17]
['CACM-0995', 17]
['CACM-0996', 24]
['CACM-0997', 20]
['CACM-0998', 16]
['CACM-0999', 15]
['CACM-1000', 16]
['CACM-1001', 54]
['CACM-1002', 59]
['CACM-1003', 99]
['CACM-1004', 16]
['CACM-1005', 17]
['CACM-1006', 33]
['CACM-1007', 90]
['CACM-1008', 44]
['CACM-1009', 27]
['CACM-1010', 54]
['CACM-1011', 19]
['CACM-1012', 111]
['CACM-1013', 54]
['CACM-1014', 46]
['CACM-1015', 41]
['CACM-1016', 32]
['CACM-1017', 20]
['CACM-1018', 17]
['CACM-1019', 19]
['CACM-1020', 24]
['CACM-1021', 19]
['CACM-1022', 22]
['CACM-1023', 29]
['CACM-1024', 56]
['CACM-1025', 58]
['CACM-1026', 53]
['CACM-1027', 16]
['CACM-1028', 74]
['CACM-1029', 96]
['CACM-1030', 55]
['CACM-1031', 31]
['CACM-1032', 71]
['CACM-1033', 80]
['CACM-1034', 48]
['CACM-1035', 53]
['CACM-1036', 16]
['CACM-1037', 25]
['CACM-1038', 19]
['CACM-1039', 20]
['CACM-1040', 37]
['CACM-1041', 18]
['CACM-1042', 19]
['CACM-1043', 43]
['CACM-1044', 34]
['CACM-1045', 35]
['CACM-1046', 132]
['CACM-1047', 41]
['CACM-1048', 54]
['CACM-1049', 46]
['CACM-1050', 56]
['CACM-1051', 122]
['CACM-1052', 46]
['CACM-1053', 32]
['CACM-1054', 16]
['CACM-1055', 18]
['CACM-1056', 16]
['CACM-1057', 18]
['CACM-1058', 19]
['CACM-1059', 23]
['CACM-1060', 17]
['CACM-1061', 17]
['CACM-1062', 81]
['CACM-1063', 21]
['CACM-1064', 20]
['CACM-1065', 24]
['CACM-1066', 84]
['CACM-1067', 40]
['CACM-1068', 18]
['CACM-1069', 25]
['CACM-1070', 17]
['CACM-1071', 42]
['CACM-1072', 54]
['CACM-1073', 30]
['CACM-1074', 15]
['CACM-1075', 15]
['CACM-1076', 16]
['CACM-1077', 17]
['CACM-1078', 18]
['CACM-1079', 17]
['CACM-1080', 17]
['CACM-1081', 22]
['CACM-1082', 18]
['CACM-1083', 86]
['CACM-1084', 79]
['CACM-1085', 19]
['CACM-1086', 67]
['CACM-1087', 37]
['CACM-1088', 62]
['CACM-1089', 16]
['CACM-1090', 18]
['CACM-1091', 18]
['CACM-1092', 32]
['CACM-1093', 25]
['CACM-1094', 16]
['CACM-1095', 16]
['CACM-1096', 20]
['CACM-1097', 24]
['CACM-1098', 135]
['CACM-1099', 87]
['CACM-1100', 24]
['CACM-1101', 19]
['CACM-1102', 90]
['CACM-1103', 15]
['CACM-1104', 21]
['CACM-1105', 37]
['CACM-1106', 15]
['CACM-1107', 20]
['CACM-1108', 78]
['CACM-1109', 71]
['CACM-1110', 34]
['CACM-1111', 38]
['CACM-1112', 56]
['CACM-1113', 63]
['CACM-1114', 33]
['CACM-1115', 36]
['CACM-1116', 47]
['CACM-1117', 49]
['CACM-1118', 21]
['CACM-1119', 17]
['CACM-1120', 21]
['CACM-1121', 42]
['CACM-1122', 56]
['CACM-1123', 14]
['CACM-1124', 15]
['CACM-1125', 14]
['CACM-1126', 20]
['CACM-1127', 15]
['CACM-1128', 18]
['CACM-1129', 17]
['CACM-1130', 20]
['CACM-1131', 75]
['CACM-1132', 112]
['CACM-1133', 17]
['CACM-1134', 88]
['CACM-1135', 128]
['CACM-1136', 27]
['CACM-1137', 20]
['CACM-1138', 45]
['CACM-1139', 122]
['CACM-1140', 118]
['CACM-1141', 71]
['CACM-1142', 22]
['CACM-1143', 75]
['CACM-1144', 32]
['CACM-1145', 91]
['CACM-1146', 46]
['CACM-1147', 47]
['CACM-1148', 35]
['CACM-1149', 76]
['CACM-1150', 16]
['CACM-1151', 21]
['CACM-1152', 30]
['CACM-1153', 36]
['CACM-1154', 61]
['CACM-1155', 95]
['CACM-1156', 18]
['CACM-1157', 30]
['CACM-1158', 33]
['CACM-1159', 67]
['CACM-1160', 64]
['CACM-1161', 64]
['CACM-1162', 55]
['CACM-1163', 42]
['CACM-1164', 44]
['CACM-1165', 44]
